Step,Information:,X=502.377p,Run:,13/20
1.00000000000000e-001,5.35642717099438e+003,-5.91801201091273e+002,5.02377000000000e-010,0.00000000000000e+000
1.25892541179417e-001,5.31742635420240e+003,-7.39384939021233e+002,5.02377000000000e-010,0.00000000000000e+000
1.58489319246111e-001,5.25681131938033e+003,-9.19778258705518e+002,5.02377000000000e-010,0.00000000000000e+000
1.99526231496888e-001,5.16363722413511e+003,-1.13654449066713e+003,5.02377000000000e-010,0.00000000000000e+000
2.51188643150958e-001,5.02281670771944e+003,-1.39013026241250e+003,5.02377000000000e-010,0.00000000000000e+000
3.16227766016838e-001,4.81533275387798e+003,-1.67458645918017e+003,5.02377000000000e-010,0.00000000000000e+000
3.98107170553497e-001,4.52081233298072e+003,-1.97328783286398e+003,5.02377000000000e-010,0.00000000000000e+000
5.01187233627272e-001,4.12412917884254e+003,-2.25549738267205e+003,5.02377000000000e-010,0.00000000000000e+000
6.30957344480193e-001,3.62601205732008e+003,-2.47792582585031e+003,5.02377000000000e-010,0.00000000000000e+000
7.94328234724282e-001,3.05278646023952e+003,-2.59568816414540e+003,5.02377000000000e-010,0.00000000000000e+000
1.00000000000000e+000,2.45576673879096e+003,-2.58093388798198e+003,5.02377000000000e-010,0.00000000000000e+000
1.25892541179417e+000,1.89521929502298e+003,-2.43734245741043e+003,5.02377000000000e-010,0.00000000000000e+000
1.58489319246111e+000,1.41788975547096e+003,-2.19809597075727e+003,5.02377000000000e-010,0.00000000000000e+000
1.99526231496888e+000,1.04408215440847e+003,-1.90918186342352e+003,5.02377000000000e-010,0.00000000000000e+000
2.51188643150958e+000,7.70090657031816e+002,-1.61173991903028e+003,5.02377000000000e-010,0.00000000000000e+000
3.16227766016838e+000,5.78851260375961e+002,-1.33333295059559e+003,5.02377000000000e-010,0.00000000000000e+000
3.98107170553498e+000,4.49883159525664e+002,-1.08791239939337e+003,5.02377000000000e-010,0.00000000000000e+000
5.01187233627273e+000,3.64912225354853e+002,-8.79714102892405e+002,5.02377000000000e-010,0.00000000000000e+000
6.30957344480194e+000,3.09781330802870e+002,-7.07406208673946e+002,5.02377000000000e-010,0.00000000000000e+000
7.94328234724282e+000,2.74360731649482e+002,-5.67084587861908e+002,5.02377000000000e-010,0.00000000000000e+000
1.00000000000000e+001,2.51737703712277e+002,-4.54048663809374e+002,5.02377000000000e-010,0.00000000000000e+000
1.25892541179417e+001,2.37328164019208e+002,-3.63710899856451e+002,5.02377000000000e-010,0.00000000000000e+000
1.58489319246112e+001,2.28142816911578e+002,-2.91991556519200e+002,5.02377000000000e-010,0.00000000000000e+000
1.99526231496888e+001,2.22247754262639e+002,-2.35440924350549e+002,5.02377000000000e-010,0.00000000000000e+000
2.51188643150958e+001,2.18390291906093e+002,-1.91231549798324e+002,5.02377000000000e-010,0.00000000000000e+000
3.16227766016838e+001,2.15746285888373e+002,-1.57096651169646e+002,5.02377000000000e-010,0.00000000000000e+000
3.98107170553498e+001,2.13749887869671e+002,-1.31252170783052e+002,5.02377000000000e-010,0.00000000000000e+000
5.01187233627273e+001,2.11975775489936e+002,-1.12318543027704e+002,5.02377000000000e-010,0.00000000000000e+000
6.30957344480194e+001,2.10052292403565e+002,-9.92463595595891e+001,5.02377000000000e-010,0.00000000000000e+000
7.94328234724283e+001,2.07590927686682e+002,-9.12425758921131e+001,5.02377000000000e-010,0.00000000000000e+000
1.00000000000000e+002,2.04124558310861e+002,-8.76878045552571e+001,5.02377000000000e-010,0.00000000000000e+000
1.25892541179417e+002,1.99056911320477e+002,-8.80298915411588e+001,5.02377000000000e-010,0.00000000000000e+000
1.58489319246112e+002,1.91642970872496e+002,-9.16377277602341e+001,5.02377000000000e-010,0.00000000000000e+000
1.99526231496888e+002,1.81046130546693e+002,-9.76132355465710e+001,5.02377000000000e-010,0.00000000000000e+000
2.51188643150958e+002,1.66538932238955e+002,-1.04608080950560e+002,5.02377000000000e-010,0.00000000000000e+000
3.16227766016839e+002,1.47881259904180e+002,-1.10780506194108e+002,5.02377000000000e-010,0.00000000000000e+000
3.98107170553498e+002,1.25756442361606e+002,-1.14085006453877e+002,5.02377000000000e-010,0.00000000000000e+000
5.01187233627273e+002,1.01925177509477e+002,-1.12939248365656e+002,5.02377000000000e-010,0.00000000000000e+000
6.30957344480194e+002,7.87785278225635e+001,-1.06918267197542e+002,5.02377000000000e-010,0.00000000000000e+000
7.94328234724283e+002,5.84523694140798e+001,-9.69130164453729e+001,5.02377000000000e-010,0.00000000000000e+000
1.00000000000000e+003,4.21273899721492e+001,-8.46026607425123e+001,5.02377000000000e-010,0.00000000000000e+000
1.25892541179417e+003,2.99358195330434e+001,-7.16946784535455e+001,5.02377000000000e-010,0.00000000000000e+000
1.58489319246112e+003,2.13235783587894e+001,-5.94378909243553e+001,5.02377000000000e-010,0.00000000000000e+000
1.99526231496888e+003,1.54838740134641e+001,-4.85218938197450e+001,5.02377000000000e-010,0.00000000000000e+000
2.51188643150959e+003,1.16406497569081e+001,-3.91988352913476e+001,5.02377000000000e-010,0.00000000000000e+000
