Step,Information:,X=2n,Run:,16/20
1.00000000000000e-001,5.35573955166371e+003,-5.96573593982986e+002,2.00000000000000e-009,0.00000000000000e+000
1.25892541179417e-001,5.31634838527351e+003,-7.45323922228144e+002,2.00000000000000e-009,0.00000000000000e+000
1.58489319246111e-001,5.25513183190228e+003,-9.27120730058482e+002,2.00000000000000e-009,0.00000000000000e+000
1.99526231496888e-001,5.16104536416362e+003,-1.14553110947589e+003,2.00000000000000e-009,0.00000000000000e+000
2.51188643150958e-001,5.01887407480680e+003,-1.40096290068602e+003,2.00000000000000e-009,0.00000000000000e+000
3.16227766016838e-001,4.80946163372368e+003,-1.68735454788048e+003,2.00000000000000e-009,0.00000000000000e+000
3.98107170553497e-001,4.51232997119456e+003,-1.98786624298681e+003,2.00000000000000e-009,0.00000000000000e+000
5.01187233627272e-001,4.11236365274928e+003,-2.27144968030534e+003,2.00000000000000e-009,0.00000000000000e+000
6.30957344480193e-001,3.61050352223822e+003,-2.49448973154422e+003,2.00000000000000e-009,0.00000000000000e+000
7.94328234724282e-001,3.03349274029537e+003,-2.61192193800427e+003,2.00000000000000e-009,0.00000000000000e+000
1.00000000000000e+000,2.43312330549272e+003,-2.59599976394579e+003,2.00000000000000e-009,0.00000000000000e+000
1.25892541179417e+000,1.86997884042565e+003,-2.45076016075744e+003,2.00000000000000e-009,0.00000000000000e+000
1.58489319246111e+000,1.39085262409981e+003,-2.20980668909133e+003,2.00000000000000e-009,0.00000000000000e+000
1.99526231496888e+000,1.01589827410995e+003,-1.91943649847168e+003,2.00000000000000e-009,0.00000000000000e+000
2.51188643150958e+000,7.41200919943110e+002,-1.62094277359149e+003,2.00000000000000e-009,0.00000000000000e+000
3.16227766016838e+000,5.49518505764268e+002,-1.34193494893950e+003,2.00000000000000e-009,0.00000000000000e+000
3.98107170553498e+000,4.20244963808881e+002,-1.09636728071067e+003,2.00000000000000e-009,0.00000000000000e+000
5.01187233627273e+000,3.35021220537530e+002,-8.88474553831906e+002,2.00000000000000e-009,0.00000000000000e+000
6.30957344480194e+000,2.79625851668205e+002,-7.16937949633902e+002,2.00000000000000e-009,0.00000000000000e+000
7.94328234724282e+000,2.43867988066885e+002,-5.77886479873758e+002,2.00000000000000e-009,0.00000000000000e+000
1.00000000000000e+001,2.20761645599984e+002,-4.66673500996494e+002,2.00000000000000e-009,0.00000000000000e+000
1.25892541179417e+001,2.05621518501002e+002,-3.78783535440768e+002,2.00000000000000e-009,0.00000000000000e+000
1.58489319246112e+001,1.95310079578081e+002,-3.10219562103703e+002,2.00000000000000e-009,0.00000000000000e+000
1.99526231496888e+001,1.87674297902499e+002,-2.57608463439231e+002,2.00000000000000e-009,0.00000000000000e+000
2.51188643150958e+001,1.81143945270605e+002,-2.18159023438994e+002,2.00000000000000e-009,0.00000000000000e+000
3.16227766016838e+001,1.74455763566570e+002,-1.89536808579560e+002,2.00000000000000e-009,0.00000000000000e+000
3.98107170553498e+001,1.66486698689218e+002,-1.69681383816190e+002,2.00000000000000e-009,0.00000000000000e+000
5.01187233627273e+001,1.56210819141149e+002,-1.56584014019530e+002,2.00000000000000e-009,0.00000000000000e+000
6.30957344480194e+001,1.42819744650949e+002,-1.48077825743899e+002,2.00000000000000e-009,0.00000000000000e+000
7.94328234724283e+001,1.26019492772446e+002,-1.41765696704889e+002,2.00000000000000e-009,0.00000000000000e+000
1.00000000000000e+002,1.06381159583220e+002,-1.35253442313811e+002,2.00000000000000e-009,0.00000000000000e+000
