Step,Information:,X=3.16979n,Run:,17/20
1.00000000000000e-001,5.35519654734951e+003,-6.00300232779161e+002,3.16979000000000e-009,0.00000000000000e+000
1.25892541179417e-001,5.31549717898157e+003,-7.49960758332753e+002,3.16979000000000e-009,0.00000000000000e+000
1.58489319246111e-001,5.25380576945906e+003,-9.32851848423514e+002,3.16979000000000e-009,0.00000000000000e+000
1.99526231496888e-001,5.15899922515978e+003,-1.15254270498678e+003,3.16979000000000e-009,0.00000000000000e+000
2.51188643150958e-001,5.01576225931258e+003,-1.40940944538180e+003,3.16979000000000e-009,0.00000000000000e+000
3.16227766016838e-001,4.80482922447440e+003,-1.69730043134267e+003,3.16979000000000e-009,0.00000000000000e+000
3.98107170553497e-001,4.50564034257127e+003,-1.99920515147252e+003,3.16979000000000e-009,0.00000000000000e+000
5.01187233627272e-001,4.10309051406372e+003,-2.28382872171371e+003,3.16979000000000e-009,0.00000000000000e+000
6.30957344480193e-001,3.59828977429483e+003,-2.50729908640981e+003,3.16979000000000e-009,0.00000000000000e+000
7.94328234724282e-001,3.01831139346995e+003,-2.62441154910869e+003,3.16979000000000e-009,0.00000000000000e+000
1.00000000000000e+000,2.41532219265084e+003,-2.60750275615869e+003,3.16979000000000e-009,0.00000000000000e+000
1.25892541179417e+000,1.85015174788540e+003,-2.46089038216373e+003,3.16979000000000e-009,0.00000000000000e+000
1.58489319246111e+000,1.36962627607028e+003,-2.21850559941115e+003,3.16979000000000e-009,0.00000000000000e+000
1.99526231496888e+000,9.93777323799603e+002,-1.92688223652204e+003,3.16979000000000e-009,0.00000000000000e+000
2.51188643150958e+000,7.18522879926947e+002,-1.62742535013569e+003,3.16979000000000e-009,0.00000000000000e+000
3.16227766016838e+000,5.26478177031648e+002,-1.34777087640063e+003,3.16979000000000e-009,0.00000000000000e+000
3.98107170553498e+000,3.96934692826058e+002,-1.10186315819822e+003,3.16979000000000e-009,0.00000000000000e+000
5.01187233627273e+000,3.11460028501904e+002,-8.93920642092053e+002,3.16979000000000e-009,0.00000000000000e+000
6.30957344480194e+000,2.55771687740366e+002,-7.22613560115332e+002,3.16979000000000e-009,0.00000000000000e+000
7.94328234724282e+000,2.19614643843310e+002,-5.84066365212090e+002,3.16979000000000e-009,0.00000000000000e+000
1.00000000000000e+001,1.95922114073980e+002,-4.73628472223867e+002,3.16979000000000e-009,0.00000000000000e+000
1.25892541179417e+001,1.79898712539556e+002,-3.86768190322821e+002,3.16979000000000e-009,0.00000000000000e+000
1.58489319246112e+001,1.68257216070351e+002,-3.19436291907619e+002,3.16979000000000e-009,0.00000000000000e+000
1.99526231496888e+001,1.58654194804452e+002,-2.68131377898563e+002,3.16979000000000e-009,0.00000000000000e+000
2.51188643150958e+001,1.49313524404533e+002,-2.29798647492790e+002,3.16979000000000e-009,0.00000000000000e+000
3.16227766016838e+001,1.38832053808026e+002,-2.01639029481941e+002,3.16979000000000e-009,0.00000000000000e+000
3.98107170553498e+001,1.26181439000593e+002,-1.80905937117768e+002,3.16979000000000e-009,0.00000000000000e+000
5.01187233627273e+001,1.10900505779311e+002,-1.64814773901037e+002,3.16979000000000e-009,0.00000000000000e+000
6.30957344480194e+001,9.33588357017755e+001,-1.50718899077549e+002,3.16979000000000e-009,0.00000000000000e+000
7.94328234724283e+001,7.48129335917430e+001,-1.36576170518762e+002,3.16979000000000e-009,0.00000000000000e+000
1.00000000000000e+002,5.70144531989578e+001,-1.21423263829953e+002,3.16979000000000e-009,0.00000000000000e+000
