Freq.,X,abs-1/1-1/2*IVi*Vx2-Vx*IVi2+Vx+IVi2/1+abs-1/1-1/2*IVi*Vx2-Vx*IVi2+Vx+IVi2
Step,Information:,X=2p,Run:,1/20
1.00000000000000e-001,2.00000000000000e-012,0.00000000000000e+000,9.99814473719771e-001,0.00000000000000e+000
1.25892541179417e-001,2.00000000000000e-012,0.00000000000000e+000,9.99813768697541e-001,0.00000000000000e+000
1.58489319246111e-001,2.00000000000000e-012,0.00000000000000e+000,9.99812656787530e-001,0.00000000000000e+000
1.99526231496888e-001,2.00000000000000e-012,0.00000000000000e+000,9.99810908021567e-001,0.00000000000000e+000
2.51188643150958e-001,2.00000000000000e-012,0.00000000000000e+000,9.99808169314725e-001,0.00000000000000e+000
3.16227766016838e-001,2.00000000000000e-012,0.00000000000000e+000,9.99803907699463e-001,0.00000000000000e+000
3.98107170553497e-001,2.00000000000000e-012,0.00000000000000e+000,9.99797338449100e-001,0.00000000000000e+000
5.01187233627272e-001,2.00000000000000e-012,0.00000000000000e+000,9.99787345685612e-001,0.00000000000000e+000
6.30957344480193e-001,2.00000000000000e-012,0.00000000000000e+000,9.99772413393703e-001,0.00000000000000e+000
7.94328234724282e-001,2.00000000000000e-012,0.00000000000000e+000,9.99750590512044e-001,0.00000000000000e+000
1.00000000000000e+000,2.00000000000000e-012,0.00000000000000e+000,9.99719501142233e-001,0.00000000000000e+000
1.25892541179417e+000,2.00000000000000e-012,0.00000000000000e+000,9.99676376881484e-001,0.00000000000000e+000
1.58489319246111e+000,2.00000000000000e-012,0.00000000000000e+000,9.99618060346939e-001,0.00000000000000e+000
1.99526231496888e+000,2.00000000000000e-012,0.00000000000000e+000,9.99540943731026e-001,0.00000000000000e+000
2.51188643150958e+000,2.00000000000000e-012,0.00000000000000e+000,9.99440859230365e-001,0.00000000000000e+000
3.16227766016838e+000,2.00000000000000e-012,0.00000000000000e+000,9.99312990928297e-001,0.00000000000000e+000
3.98107170553498e+000,2.00000000000000e-012,0.00000000000000e+000,9.99151915377646e-001,0.00000000000000e+000
5.01187233627273e+000,2.00000000000000e-012,0.00000000000000e+000,9.98951921221095e-001,0.00000000000000e+000
6.30957344480194e+000,2.00000000000000e-012,0.00000000000000e+000,9.98707820185963e-001,0.00000000000000e+000
7.94328234724282e+000,2.00000000000000e-012,0.00000000000000e+000,9.98416501803801e-001,0.00000000000000e+000
1.00000000000000e+001,2.00000000000000e-012,0.00000000000000e+000,9.98079360607090e-001,0.00000000000000e+000
1.25892541179417e+001,2.00000000000000e-012,0.00000000000000e+000,9.97705189116301e-001,0.00000000000000e+000
1.58489319246112e+001,2.00000000000000e-012,0.00000000000000e+000,9.97312069061107e-001,0.00000000000000e+000
1.99526231496888e+001,2.00000000000000e-012,0.00000000000000e+000,9.96925904520502e-001,0.00000000000000e+000
2.51188643150958e+001,2.00000000000000e-012,0.00000000000000e+000,9.96574299762401e-001,0.00000000000000e+000
3.16227766016838e+001,2.00000000000000e-012,0.00000000000000e+000,9.96278151139473e-001,0.00000000000000e+000
3.98107170553498e+001,2.00000000000000e-012,0.00000000000000e+000,9.96046145868897e-001,0.00000000000000e+000
5.01187233627273e+001,2.00000000000000e-012,0.00000000000000e+000,9.95875227059240e-001,0.00000000000000e+000
6.30957344480194e+001,2.00000000000000e-012,0.00000000000000e+000,9.95755239708450e-001,0.00000000000000e+000
7.94328234724283e+001,2.00000000000000e-012,0.00000000000000e+000,9.95673964951195e-001,0.00000000000000e+000
1.00000000000000e+002,2.00000000000000e-012,0.00000000000000e+000,9.95620321349083e-001,0.00000000000000e+000
1.25892541179417e+002,2.00000000000000e-012,0.00000000000000e+000,9.95585611938671e-001,0.00000000000000e+000
1.58489319246112e+002,2.00000000000000e-012,0.00000000000000e+000,9.95563580084380e-001,0.00000000000000e+000
1.99526231496888e+002,2.00000000000000e-012,0.00000000000000e+000,9.95549985122320e-001,0.00000000000000e+000
2.51188643150958e+002,2.00000000000000e-012,0.00000000000000e+000,9.95542101308143e-001,0.00000000000000e+000
3.16227766016839e+002,2.00000000000000e-012,0.00000000000000e+000,9.95538305035474e-001,0.00000000000000e+000
3.98107170553498e+002,2.00000000000000e-012,0.00000000000000e+000,9.95537791937254e-001,0.00000000000000e+000
5.01187233627273e+002,2.00000000000000e-012,0.00000000000000e+000,9.95540416877417e-001,0.00000000000000e+000
6.30957344480194e+002,2.00000000000000e-012,0.00000000000000e+000,9.95546634443690e-001,0.00000000000000e+000
7.94328234724283e+002,2.00000000000000e-012,0.00000000000000e+000,9.95557507735162e-001,0.00000000000000e+000
1.00000000000000e+003,2.00000000000000e-012,0.00000000000000e+000,9.95574730195148e-001,0.00000000000000e+000
1.25892541179417e+003,2.00000000000000e-012,0.00000000000000e+000,9.95600557659980e-001,0.00000000000000e+000
1.58489319246112e+003,2.00000000000000e-012,0.00000000000000e+000,9.95637490328570e-001,0.00000000000000e+000
1.99526231496888e+003,2.00000000000000e-012,0.00000000000000e+000,9.95687563748855e-001,0.00000000000000e+000
2.51188643150959e+003,2.00000000000000e-012,0.00000000000000e+000,9.95751376520391e-001,0.00000000000000e+000
3.16227766016839e+003,2.00000000000000e-012,0.00000000000000e+000,9.95827537867647e-001,0.00000000000000e+000
3.98107170553498e+003,2.00000000000000e-012,0.00000000000000e+000,9.95913509375221e-001,0.00000000000000e+000
5.01187233627273e+003,2.00000000000000e-012,0.00000000000000e+000,9.96007983348395e-001,0.00000000000000e+000
6.30957344480195e+003,2.00000000000000e-012,0.00000000000000e+000,9.96113426329109e-001,0.00000000000000e+000
7.94328234724283e+003,2.00000000000000e-012,0.00000000000000e+000,9.96237036081987e-001,0.00000000000000e+000
1.00000000000000e+004,2.00000000000000e-012,0.00000000000000e+000,9.96389421913901e-001,0.00000000000000e+000
1.25892541179417e+004,2.00000000000000e-012,0.00000000000000e+000,9.96581225955175e-001,0.00000000000000e+000
1.58489319246112e+004,2.00000000000000e-012,0.00000000000000e+000,9.96818265660677e-001,0.00000000000000e+000
1.99526231496889e+004,2.00000000000000e-012,0.00000000000000e+000,9.97096760724731e-001,0.00000000000000e+000
2.51188643150959e+004,2.00000000000000e-012,0.00000000000000e+000,9.97401603619641e-001,0.00000000000000e+000
3.16227766016839e+004,2.00000000000000e-012,0.00000000000000e+000,9.97709892407672e-001,0.00000000000000e+000
3.98107170553498e+004,2.00000000000000e-012,0.00000000000000e+000,9.97998168688238e-001,0.00000000000000e+000
5.01187233627274e+004,2.00000000000000e-012,0.00000000000000e+000,9.98248918188489e-001,0.00000000000000e+000
6.30957344480195e+004,2.00000000000000e-012,0.00000000000000e+000,9.98453285406008e-001,0.00000000000000e+000
7.94328234724284e+004,2.00000000000000e-012,0.00000000000000e+000,9.98610251130533e-001,0.00000000000000e+000
1.00000000000000e+005,2.00000000000000e-012,0.00000000000000e+000,9.98724083901208e-001,0.00000000000000e+000
1.25892541179417e+005,2.00000000000000e-012,0.00000000000000e+000,9.98801531783809e-001,0.00000000000000e+000
1.58489319246112e+005,2.00000000000000e-012,0.00000000000000e+000,9.98849482850066e-001,0.00000000000000e+000
1.99526231496889e+005,2.00000000000000e-012,0.00000000000000e+000,9.98873353691143e-001,0.00000000000000e+000
2.51188643150959e+005,2.00000000000000e-012,0.00000000000000e+000,9.98876168614820e-001,0.00000000000000e+000
3.16227766016839e+005,2.00000000000000e-012,0.00000000000000e+000,9.98858109163578e-001,0.00000000000000e+000
3.98107170553499e+005,2.00000000000000e-012,0.00000000000000e+000,9.98816298743260e-001,0.00000000000000e+000
5.01187233627274e+005,2.00000000000000e-012,0.00000000000000e+000,9.98744708213057e-001,0.00000000000000e+000
6.30957344480196e+005,2.00000000000000e-012,0.00000000000000e+000,9.98634201101613e-001,0.00000000000000e+000
7.94328234724285e+005,2.00000000000000e-012,0.00000000000000e+000,9.98472750895985e-001,0.00000000000000e+000
1.00000000000000e+006,2.00000000000000e-012,0.00000000000000e+000,9.98245714418018e-001,0.00000000000000e+000
