Step,Information:,X=1.26191n,Run:,15/20
1.00000000000000e-001,7.46300688750506e+001,-6.33070063087787e+000,-1.77979432361381e+002,0.00000000000000e+000
1.25892541179417e-001,7.45969971196223e+001,-7.94883010806138e+000,-1.77979432361381e+002,0.00000000000000e+000
1.58489319246111e-001,7.45450941047502e+001,-9.96547616762189e+000,-1.77979432361381e+002,0.00000000000000e+000
1.99526231496888e-001,7.44640874705568e+001,-1.24644849397033e+001,-1.77979432361381e+002,0.00000000000000e+000
2.51188643150958e-001,7.43387279397658e+001,-1.55342148276099e+001,-1.77979432361381e+002,0.00000000000000e+000
3.16227766016838e-001,7.41471985090728e+001,-1.92554568029476e+001,-1.77979432361381e+002,0.00000000000000e+000
3.98107170553497e-001,7.38600113677116e+001,-2.36795277085846e+001,-1.77979432361381e+002,0.00000000000000e+000
5.01187233627272e-001,7.34406355259938e+001,-2.87958891631379e+001,-1.77979432361381e+002,0.00000000000000e+000
6.30957344480193e-001,7.28495045932347e+001,-3.44962742848810e+001,-1.77979432361381e+002,0.00000000000000e+000
7.94328234724282e-001,7.20521965676732e+001,-4.05540582310950e+001,-1.77979432361381e+002,0.00000000000000e+000
1.00000000000000e+000,7.10296806148673e+001,-4.66424966984334e+001,-1.77979432361381e+002,0.00000000000000e+000
1.25892541179417e+000,6.97853387681549e+001,-5.23978827087735e+001,-1.77979432361381e+002,0.00000000000000e+000
1.58489319246111e+000,6.83441422375191e+001,-5.74996012707744e+001,-1.77979432361381e+002,0.00000000000000e+000
1.99526231496888e+000,6.67447128150828e+001,-6.17239961757215e+001,-1.77979432361381e+002,0.00000000000000e+000
2.51188643150958e+000,6.50296005847307e+001,-6.49517004928255e+001,-1.77979432361381e+002,0.00000000000000e+000
3.16227766016838e+000,6.32386072367225e+001,-6.71410597824495e+001,-1.77979432361381e+002,0.00000000000000e+000
3.98107170553498e+000,6.14065350544388e+001,-6.82923570176431e+001,-1.77979432361381e+002,0.00000000000000e+000
5.01187233627273e+000,5.95642659126573e+001,-6.84201691577372e+001,-1.77979432361381e+002,0.00000000000000e+000
6.30957344480194e+000,5.77415326944479e+001,-6.75406733375718e+001,-1.77979432361381e+002,0.00000000000000e+000
7.94328234724282e+000,5.59700503365844e+001,-6.56753120995300e+001,-1.77979432361381e+002,0.00000000000000e+000
1.00000000000000e+001,5.42858154470290e+001,-6.28706501410857e+001,-1.77979432361381e+002,0.00000000000000e+000
1.25892541179417e+001,5.27291070154585e+001,-5.92318069868770e+001,-1.77979432361381e+002,0.00000000000000e+000
1.58489319246112e+001,5.13405513562211e+001,-5.49594392963179e+001,-1.77979432361381e+002,0.00000000000000e+000
1.99526231496888e+001,5.01527365944663e+001,-5.03691946270298e+001,-1.77979432361381e+002,0.00000000000000e+000
2.51188643150958e+001,4.91799421331192e+001,-4.58699968479300e+001,-1.77979432361381e+002,0.00000000000000e+000
3.16227766016838e+001,4.84114731039724e+001,-4.18981015247978e+001,-1.77979432361381e+002,0.00000000000000e+000
3.98107170553498e+001,4.78127580983052e+001,-3.88374838760857e+001,-1.77979432361381e+002,0.00000000000000e+000
5.01187233627273e+001,4.73327871404506e+001,-3.69671170464967e+001,-1.77979432361381e+002,0.00000000000000e+000
6.30957344480194e+001,4.69125205891683e+001,-3.64488330190290e+001,-1.77979432361381e+002,0.00000000000000e+000
7.94328234724283e+001,4.64903265140814e+001,-3.73375132820926e+001,-1.77979432361381e+002,0.00000000000000e+000
1.00000000000000e+002,4.60045939018048e+001,-3.95880192772094e+001,-1.77979432361381e+002,0.00000000000000e+000
1.25892541179417e+002,4.53964330993496e+001,-4.30484030134465e+001,-1.77979432361381e+002,0.00000000000000e+000
