Step,Information:,X=2n,Run:,16/20
1.00000000000000e-001,7.46299431191064e+001,-6.35595193728412e+000,-1.73979400086720e+002,0.00000000000000e+000
1.25892541179417e-001,7.45967993028492e+001,-7.98055172957548e+000,-1.73979400086720e+002,0.00000000000000e+000
1.58489319246111e-001,7.45447842635537e+001,-1.00052784966569e+001,-1.73979400086720e+002,0.00000000000000e+000
1.99526231496888e-001,7.44636053630192e+001,-1.25143360884035e+001,-1.73979400086720e+002,0.00000000000000e+000
2.51188643150958e-001,7.43379853045016e+001,-1.55964847535300e+001,-1.73979400086720e+002,0.00000000000000e+000
3.16227766016838e-001,7.41460715982921e+001,-1.93329432358733e+001,-1.73979400086720e+002,0.00000000000000e+000
3.98107170553497e-001,7.38583379803981e+001,-2.37754574421838e+001,-1.73979400086720e+002,0.00000000000000e+000
5.01187233627272e-001,7.34382237405369e+001,-2.89139119453770e+001,-1.73979400086720e+002,0.00000000000000e+000
6.30957344480193e-001,7.28461602423405e+001,-3.46405181162414e+001,-1.73979400086720e+002,0.00000000000000e+000
7.94328234724282e-001,7.20477674750068e+001,-4.07293695278687e+001,-1.73979400086720e+002,0.00000000000000e+000
1.00000000000000e+000,7.10240982205748e+001,-4.68549700940547e+001,-1.73979400086720e+002,0.00000000000000e+000
1.25892541179417e+000,6.97786284196970e+001,-5.26556467913290e+001,-1.73979400086720e+002,0.00000000000000e+000
1.58489319246111e+000,6.83363894604143e+001,-5.78136833036363e+001,-1.73979400086720e+002,0.00000000000000e+000
1.99526231496888e+000,6.67360011252726e+001,-6.21091175589569e+001,-1.73979400086720e+002,0.00000000000000e+000
2.51188643150958e+000,6.50199456024723e+001,-6.54270250935066e+001,-1.73979400086720e+002,0.00000000000000e+000
3.16227766016838e+000,6.32278970604921e+001,-6.77310413345834e+001,-1.73979400086720e+002,0.00000000000000e+000
3.98107170553498e+000,6.13944679357384e+001,-6.90278352650127e+001,-1.73979400086720e+002,0.00000000000000e+000
5.01187233627273e+000,5.95502654778735e+001,-6.93398128976619e+001,-1.73979400086720e+002,0.00000000000000e+000
6.30957344480194e+000,5.77246153917088e+001,-6.86928255025397e+001,-1.73979400086720e+002,0.00000000000000e+000
7.94328234724282e+000,5.59486126822871e+001,-6.71202641557463e+001,-1.73979400086720e+002,0.00000000000000e+000
1.00000000000000e+001,5.42572957760717e+001,-6.46833346133127e+001,-1.73979400086720e+002,0.00000000000000e+000
1.25892541179417e+001,5.26894559906612e+001,-6.15048087722754e+001,-1.73979400086720e+002,0.00000000000000e+000
1.58489319246112e+001,5.12834175933362e+001,-5.78060315797016e+001,-1.73979400086720e+002,0.00000000000000e+000
1.99526231496888e+001,5.00682429448587e+001,-5.39257128439680e+001,-1.73979400086720e+002,0.00000000000000e+000
2.51188643150958e+001,4.90529109563392e+001,-5.02961391438866e+001,-1.73979400086720e+002,0.00000000000000e+000
3.16227766016838e+001,4.82189993257413e+001,-4.73725382548303e+001,-1.73979400086720e+002,0.00000000000000e+000
3.98107170553498e+001,4.75212217826222e+001,-4.55444790097758e+001,-1.73979400086720e+002,0.00000000000000e+000
5.01187233627273e+001,4.68948976382613e+001,-4.50683594454078e+001,-1.73979400086720e+002,0.00000000000000e+000
6.30957344480194e+001,4.62659206139790e+001,-4.60355296238012e+001,-1.73979400086720e+002,0.00000000000000e+000
