Step,Information:,X=7.96214p,Run:,4/20
1.00000000000000e-001,7.46302786612041e+001,-6.28779886240797e+000,-2.21979403807852e+002,0.00000000000000e+000
1.25892541179417e-001,7.45973271015094e+001,-7.89493413094488e+000,-2.21979403807852e+002,0.00000000000000e+000
1.58489319246111e-001,7.45456109161236e+001,-9.89784849795636e+000,-2.21979403807852e+002,0.00000000000000e+000
1.99526231496888e-001,7.44648915186662e+001,-1.23797789502573e+001,-2.21979403807852e+002,0.00000000000000e+000
2.51188643150958e-001,7.43399662381756e+001,-1.54283986437265e+001,-2.21979403807852e+002,0.00000000000000e+000
3.16227766016838e-001,7.41490769411471e+001,-1.91237674317014e+001,-2.21979403807852e+002,0.00000000000000e+000
3.98107170553497e-001,7.38627991997100e+001,-2.35164662883499e+001,-2.21979403807852e+002,0.00000000000000e+000
5.01187233627272e-001,7.34446499102878e+001,-2.85952284855011e+001,-2.21979403807852e+002,0.00000000000000e+000
6.30957344480193e-001,7.28550629307492e+001,-3.42509628525056e+001,-2.21979403807852e+002,0.00000000000000e+000
7.94328234724282e-001,7.20595396055599e+001,-4.02558124372328e+001,-2.21979403807852e+002,0.00000000000000e+000
1.00000000000000e+000,7.10388983110753e+001,-4.62809028906346e+001,-2.21979403807852e+002,0.00000000000000e+000
1.25892541179417e+000,6.97963466656622e+001,-5.19590635024070e+001,-2.21979403807852e+002,0.00000000000000e+000
1.58489319246111e+000,6.83567288171720e+001,-5.69647429885764e+001,-2.21979403807852e+002,0.00000000000000e+000
1.99526231496888e+000,6.67586298205897e+001,-6.10679871471871e+001,-2.21979403807852e+002,0.00000000000000e+000
2.51188643150958e+000,6.50446513369898e+001,-6.41418411664157e+001,-2.21979403807852e+002,0.00000000000000e+000
3.16227766016838e+000,6.32547109898557e+001,-6.61355917365902e+001,-2.21979403807852e+002,0.00000000000000e+000
3.98107170553498e+000,6.14237746381508e+001,-6.70385449939700e+001,-2.21979403807852e+002,0.00000000000000e+000
5.01187233627273e+000,5.95829398714453e+001,-6.68517452386512e+001,-2.21979403807852e+002,0.00000000000000e+000
6.30957344480194e+000,5.77622358967738e+001,-6.55745020039586e+001,-2.21979403807852e+002,0.00000000000000e+000
7.94328234724282e+000,5.59938090286698e+001,-6.32071364392505e+001,-2.21979403807852e+002,0.00000000000000e+000
1.00000000000000e+001,5.43143101040181e+001,-5.97697553882614e+001,-2.21979403807852e+002,0.00000000000000e+000
1.25892541179417e+001,5.27650317960778e+001,-5.53344147469044e+001,-2.21979403807852e+002,0.00000000000000e+000
1.58489319246112e+001,5.13881846779286e+001,-5.00606507448415e+001,-2.21979403807852e+002,0.00000000000000e+000
1.99526231496888e+001,5.02188361849831e+001,-4.42133721938871e+001,-2.21979403807852e+002,0.00000000000000e+000
2.51188643150958e+001,4.92751326773152e+001,-3.81396809426954e+001,-2.21979403807852e+002,0.00000000000000e+000
3.16227766016838e+001,4.85523645708562e+001,-3.22020265313045e+001,-2.21979403807852e+002,0.00000000000000e+000
3.98107170553498e+001,4.80251049549708e+001,-2.66991898376266e+001,-2.21979403807852e+002,0.00000000000000e+000
5.01187233627273e+001,4.76560287027450e+001,-2.18173238085301e+001,-2.21979403807852e+002,0.00000000000000e+000
6.30957344480194e+001,4.74059235130493e+001,-1.76273511264855e+001,-2.21979403807852e+002,0.00000000000000e+000
7.94328234724283e+001,4.72404833652123e+001,-1.41136425487983e+001,-2.21979403807852e+002,0.00000000000000e+000
1.00000000000000e+002,4.71329808038752e+001,-1.12101610639242e+001,-2.21979403807852e+002,0.00000000000000e+000
1.25892541179417e+002,4.70641280314617e+001,-8.82943335242061e+000,-2.21979403807852e+002,0.00000000000000e+000
1.58489319246112e+002,4.70207171873792e+001,-6.88068220696483e+000,-2.21979403807852e+002,0.00000000000000e+000
1.99526231496888e+002,4.69940602156747e+001,-5.27909121027322e+000,-2.21979403807852e+002,0.00000000000000e+000
2.51188643150958e+002,4.69786763237436e+001,-3.94940551720240e+000,-2.21979403807852e+002,0.00000000000000e+000
3.16227766016839e+002,4.69713422884864e+001,-2.82646987357051e+000,-2.21979403807852e+002,0.00000000000000e+000
3.98107170553498e+002,4.69704818069438e+001,-1.85440824586530e+000,-2.21979403807852e+002,0.00000000000000e+000
5.01187233627273e+002,4.69758319939347e+001,-9.85497509640286e-001,-2.21979403807852e+002,0.00000000000000e+000
6.30957344480194e+002,4.69883223747026e+001,-1.79455523149181e-001,-2.21979403807852e+002,0.00000000000000e+000
7.94328234724283e+002,4.70100938862392e+001,5.96220770284442e-001,-2.21979403807852e+002,0.00000000000000e+000
1.00000000000000e+003,4.70445420289721e+001,1.36421752716462e+000,-2.21979403807852e+002,0.00000000000000e+000
1.25892541179417e+003,4.70961663266388e+001,2.13322323844645e+000,-2.21979403807852e+002,0.00000000000000e+000
1.58489319246112e+003,4.71698684425011e+001,2.89222106892897e+000,-2.21979403807852e+002,0.00000000000000e+000
1.99526231496888e+003,4.72693274937492e+001,3.60648551289159e+000,-2.21979403807852e+002,0.00000000000000e+000
2.51188643150959e+003,4.73945662200433e+001,4.22189872098758e+000,-2.21979403807852e+002,0.00000000000000e+000
3.16227766016839e+003,4.75400082664012e+001,4.68357367745161e+000,-2.21979403807852e+002,0.00000000000000e+000
3.98107170553498e+003,4.76952324822891e+001,4.96403099181654e+000,-2.21979403807852e+002,0.00000000000000e+000
5.01187233627273e+003,4.78492498974825e+001,5.08127552555481e+000,-2.21979403807852e+002,0.00000000000000e+000
6.30957344480195e+003,4.79957950447783e+001,5.08899757939201e+000,-2.21979403807852e+002,0.00000000000000e+000
7.94328234724283e+003,4.81358420205888e+001,5.04402253521529e+000,-2.21979403807852e+002,0.00000000000000e+000
