Freq.,absVvin/IV3/1000
1.00000000000000e+001,8.55458464772996e+001,0.00000000000000e+000
1.25892541179417e+001,8.54159141070651e+001,0.00000000000000e+000
1.58489319246111e+001,8.52554270470591e+001,0.00000000000000e+000
1.99526231496888e+001,8.50743190195992e+001,0.00000000000000e+000
2.51188643150958e+001,8.48896372218709e+001,0.00000000000000e+000
3.16227766016838e+001,8.47197785617400e+001,0.00000000000000e+000
3.98107170553497e+001,8.45777445771984e+001,0.00000000000000e+000
5.01187233627272e+001,8.44681152425631e+001,0.00000000000000e+000
6.30957344480194e+001,8.43885774195272e+001,0.00000000000000e+000
7.94328234724282e+001,8.43333671075205e+001,0.00000000000000e+000
1.00000000000000e+002,8.42961099720149e+001,0.00000000000000e+000
1.25892541179417e+002,8.42712829255167e+001,0.00000000000000e+000
1.58489319246111e+002,8.42546200976412e+001,0.00000000000000e+000
1.99526231496888e+002,8.42429844727810e+001,0.00000000000000e+000
2.51188643150958e+002,8.42340531014600e+001,0.00000000000000e+000
3.16227766016838e+002,8.42259723967229e+001,0.00000000000000e+000
3.98107170553498e+002,8.42170218208088e+001,0.00000000000000e+000
5.01187233627273e+002,8.42052635367110e+001,0.00000000000000e+000
6.30957344480194e+002,8.41881203947535e+001,0.00000000000000e+000
7.94328234724282e+002,8.41617909406659e+001,0.00000000000000e+000
1.00000000000000e+003,8.41203621161583e+001,0.00000000000000e+000
1.25892541179417e+003,8.40544111434538e+001,0.00000000000000e+000
1.58489319246111e+003,8.39488152750385e+001,0.00000000000000e+000
1.99526231496888e+003,8.37794911837897e+001,0.00000000000000e+000
2.51188643150958e+003,8.35090383636755e+001,0.00000000000000e+000
3.16227766016838e+003,8.30819610876152e+001,0.00000000000000e+000
3.98107170553498e+003,8.24213544132297e+001,0.00000000000000e+000
5.01187233627273e+003,8.14307090182212e+001,0.00000000000000e+000
6.30957344480194e+003,8.00069348868569e+001,0.00000000000000e+000
7.94328234724283e+003,7.80719238363488e+001,0.00000000000000e+000
1.00000000000000e+004,7.56228581698133e+001,0.00000000000000e+000
1.25892541179417e+004,7.27795785063564e+001,0.00000000000000e+000
1.58489319246112e+004,6.97854432468668e+001,0.00000000000000e+000
1.99526231496888e+004,6.69357245880535e+001,0.00000000000000e+000
2.51188643150958e+004,6.44702294683044e+001,0.00000000000000e+000
3.16227766016839e+004,6.25036549440081e+001,0.00000000000000e+000
3.98107170553498e+004,6.10276841672548e+001,0.00000000000000e+000
4.00000000000000e+004,6.10019135638139e+001,0.00000000000000e+000
