Freq.,absVvin/IV3/1000
1.00000000000000e+000,4.23967416646280e+004,0.00000000000000e+000
1.25892541179417e+000,3.96149343846619e+004,0.00000000000000e+000
1.58489319246111e+000,3.61560707907933e+004,0.00000000000000e+000
1.99526231496888e+000,3.21686516158925e+004,0.00000000000000e+000
2.51188643150958e+000,2.79196868096888e+004,0.00000000000000e+000
3.16227766016838e+000,2.37163783030395e+004,0.00000000000000e+000
3.98107170553497e+000,1.98174545797979e+004,0.00000000000000e+000
5.01187233627272e+000,1.63844893688886e+004,0.00000000000000e+000
6.30957344480194e+000,1.34823355674138e+004,0.00000000000000e+000
7.94328234724282e+000,1.11063444889310e+004,0.00000000000000e+000
1.00000000000000e+001,9.21272346424265e+003,0.00000000000000e+000
1.25892541179417e+001,7.74069793157442e+003,0.00000000000000e+000
1.58489319246111e+001,6.62507694188194e+003,0.00000000000000e+000
1.99526231496888e+001,5.80203778965558e+003,0.00000000000000e+000
2.51188643150958e+001,5.21161620765220e+003,0.00000000000000e+000
3.16227766016838e+001,4.79939966031193e+003,0.00000000000000e+000
3.98107170553498e+001,4.51825378977075e+003,0.00000000000000e+000
5.01187233627273e+001,4.32959829012158e+003,0.00000000000000e+000
6.30957344480194e+001,4.20356309178018e+003,0.00000000000000e+000
7.94328234724283e+001,4.11796912760800e+003,0.00000000000000e+000
1.00000000000000e+002,4.05659954423215e+003,0.00000000000000e+000
1.25892541179417e+002,4.00728223518289e+003,0.00000000000000e+000
1.58489319246112e+002,3.96009602406536e+003,0.00000000000000e+000
1.99526231496888e+002,3.90582043886050e+003,0.00000000000000e+000
2.51188643150958e+002,3.83470280129244e+003,0.00000000000000e+000
3.16227766016838e+002,3.73574440717789e+003,0.00000000000000e+000
3.98107170553498e+002,3.59697457363025e+003,0.00000000000000e+000
5.01187233627273e+002,3.40738491053520e+003,0.00000000000000e+000
6.30957344480194e+002,3.16080818008523e+003,0.00000000000000e+000
7.94328234724283e+002,2.86050161746773e+003,0.00000000000000e+000
1.00000000000000e+003,2.52128920848530e+003,0.00000000000000e+000
1.25892541179417e+003,2.16651437836013e+003,0.00000000000000e+000
1.58489319246112e+003,1.82091251884426e+003,0.00000000000000e+000
1.99526231496888e+003,1.50389894372385e+003,0.00000000000000e+000
2.51188643150959e+003,1.22665262393368e+003,0.00000000000000e+000
3.16227766016839e+003,9.92831982594748e+002,0.00000000000000e+000
3.98107170553498e+003,8.00913569633324e+002,0.00000000000000e+000
5.01187233627273e+003,6.46557144455536e+002,0.00000000000000e+000
6.30957344480195e+003,5.24370483413672e+002,0.00000000000000e+000
7.94328234724283e+003,4.28993863299357e+002,0.00000000000000e+000
1.00000000000000e+004,3.55616697005778e+002,0.00000000000000e+000
1.25892541179417e+004,3.00106496780794e+002,0.00000000000000e+000
1.58489319246112e+004,2.58934694094998e+002,0.00000000000000e+000
1.99526231496889e+004,2.29045878120128e+002,0.00000000000000e+000
2.51188643150959e+004,2.07762354122748e+002,0.00000000000000e+000
3.16227766016839e+004,1.92752307585314e+002,0.00000000000000e+000
3.98107170553498e+004,1.82032179466680e+002,0.00000000000000e+000
5.01187233627274e+004,1.73954469739006e+002,0.00000000000000e+000
6.30957344480195e+004,1.67158297697949e+002,0.00000000000000e+000
7.94328234724284e+004,1.60500434954247e+002,0.00000000000000e+000
1.00000000000000e+005,1.53010544823362e+002,0.00000000000000e+000
